,Energy,Error,Method,Architecture
277,0.351316130841776,0.121222943325555,Log-FlexiBO+GP,Xception
278,0.328499807173158,0.122367681244753,Log-FlexiBO+GP,Xception
279,0.246323318024051,0.132229433255551,Log-FlexiBO+GP,Xception
280,0.186170458927883,0.133450430773167,Log-FlexiBO+GP,Xception
281,0.159496196052309,0.144304112951159,Log-FlexiBO+GP,Xception
282,0.138766258808681,0.172294332555511,Log-FlexiBO+GP,Xception
283,0.125968516635698,0.243676812447533,Log-FlexiBO+GP,Xception
284,0.125561827297269,0.3252,Log-FlexiBO+GP,Xception
285,0.113949093713845,0.390777654571521,Log-FlexiBO+GP,Xception
286,0.385370963783613,0.156043041129512,Log-FlexiBO+RF,Xception
287,0.34032955860183,0.157062614281144,Log-FlexiBO+RF,Xception
288,0.243300494337902,0.157345043077317,Log-FlexiBO+RF,Xception
289,0.219015531325597,0.168269749910362,Log-FlexiBO+RF,Xception
290,0.208949619605231,0.172430411295116,Log-FlexiBO+RF,Xception
291,0.198802370017179,0.178287394284222,Log-FlexiBO+RF,Xception
292,0.198481225677523,0.196439697494164,Log-FlexiBO+RF,Xception
293,0.168995547452933,0.26126171812753,Log-FlexiBO+RF,Xception
294,0.167459944606107,0.283643969749416,Log-FlexiBO+RF,Xception
295,0.157825614416436,0.324643983831546,Log-FlexiBO+RF,Xception
296,0.143949093713845,0.359230458398949,Log-FlexiBO+RF,Xception
297,0.393724362794938,0.146896363434814,PAL,Xception
298,0.311972793885637,0.155570663715064,PAL,Xception
299,0.263324334747397,0.162903950627875,PAL,Xception
300,0.254825929951268,0.170688578787418,PAL,Xception
301,0.239890614591733,0.197529716654699,PAL,Xception
302,0.222585282053079,0.203647568855097,PAL,Xception
303,0.187490796900747,0.28575580205472,PAL,Xception
304,0.148995547452933,0.38126171812753,PAL,Xception
305,0.125561827297269,0.392,PAL,Xception
306,0.338961539809979,0.170370010571736,PESMO,Xception
307,0.259572976194651,0.173655928840829,PESMO,Xception
308,0.255323773796586,0.18708674515688,PESMO,Xception
309,0.149535462609123,0.191598658477933,PESMO,Xception
310,0.144178382358097,0.204686184846073,PESMO,Xception
311,0.140987974616976,0.211084259411651,PESMO,Xception
312,0.135133050520633,0.23708674515688,PESMO,Xception
313,0.110563404971427,0.26899885620367,PESMO,Xception
314,0.086547698348701,0.331318613122787,PESMO,Xception
315,0.202363005293973,0.233794055447821,ParEGO,Xception
316,0.191725975528521,0.240372149077926,ParEGO,Xception
317,0.175703817971462,0.246862145589165,ParEGO,Xception
318,0.158040879290397,0.256862145589165,ParEGO,Xception
319,0.127672404726011,0.261911229353196,ParEGO,Xception
320,0.123935069943554,0.281473605823255,ParEGO,Xception
321,0.104175577604039,0.289290824132182,ParEGO,Xception
322,0.101490025593381,0.325331691870735,ParEGO,Xception
323,0.089731094204677,0.338977014075185,ParEGO,Xception
324,0.338961539809979,0.191370010571736,SMSEGO,Xception
325,0.259572976194651,0.193655928840829,SMSEGO,Xception
326,0.255323773796586,0.20708674515688,SMSEGO,Xception
327,0.219535462609123,0.221598658477933,SMSEGO,Xception
328,0.19441783823581,0.224686184846073,SMSEGO,Xception
329,0.180987974616976,0.231084259411651,SMSEGO,Xception
330,0.15133050520633,0.29708674515688,SMSEGO,Xception
331,0.110563404971427,0.326899885620367,SMSEGO,Xception
332,0.086547698348701,0.338613122787433,SMSEGO,Xception
426,0.621316130841776,0.152294332555511,FlexiBO+GP-No Cost,Xception
427,0.328499807173158,0.153676812447533,FlexiBO+GP-No Cost,Xception
428,0.263233180240508,0.162294332555511,FlexiBO+GP-No Cost,Xception
429,0.206170458927883,0.163450430773167,FlexiBO+GP-No Cost,Xception
430,0.169496196052309,0.174304112951159,FlexiBO+GP-No Cost,Xception
431,0.148766258808681,0.232294332555511,FlexiBO+GP-No Cost,Xception
432,0.135968516635698,0.283676812447533,FlexiBO+GP-No Cost,Xception
433,0.125561827297269,0.2852,FlexiBO+GP-No Cost,Xception
434,0.123949093713845,0.360777654571521,FlexiBO+GP-No Cost,Xception
429,0.326170458927883,0.163450430773167,FlexiBO+RF-No Cost,Xception
430,0.269496196052309,0.194304112951159,FlexiBO+RF-No Cost,Xception
431,0.248766258808681,0.213229433255551,FlexiBO+RF-No Cost,Xception
432,0.19359685166357,0.278367681244753,FlexiBO+RF-No Cost,Xception
433,0.182556182729727,0.29852,FlexiBO+RF-No Cost,Xception
434,0.152394909371385,0.320777654571521,FlexiBO+RF-No Cost,Xception
333,0.381316130841776,0.151222943325555,Ratio-FlexiBO+GP,Xception
334,0.358499807173158,0.182367681244753,Ratio-FlexiBO+GP,Xception
335,0.294632331802405,0.192229433255551,Ratio-FlexiBO+GP,Xception
336,0.268617045892788,0.213345043077317,Ratio-FlexiBO+GP,Xception
337,0.195949619605231,0.244304112951159,Ratio-FlexiBO+GP,Xception
338,0.173876625880868,0.272294332555511,Ratio-FlexiBO+GP,Xception
339,0.16259685166357,0.343676812447533,Ratio-FlexiBO+GP,Xception
340,0.343300494337902,0.157345043077317,Ratio-FlexiBO+RF,Xception
341,0.319015531325597,0.188269749910362,Ratio-FlexiBO+RF,Xception
342,0.298949619605231,0.192430411295116,Ratio-FlexiBO+RF,Xception
343,0.239880237001718,0.217828739428422,Ratio-FlexiBO+RF,Xception
344,0.219848122567752,0.229643969749416,Ratio-FlexiBO+RF,Xception
345,0.196899554745293,0.296126171812753,Ratio-FlexiBO+RF,Xception
346,0.191674599446061,0.328364396974942,Ratio-FlexiBO+RF,Xception
347,0.185782561441644,0.332464398383155,Ratio-FlexiBO+RF,Xception
348,0.184394909371385,0.369230458398949,Ratio-FlexiBO+RF,Xception
